MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   AUTOBUZ,25364,1704,1087,1485,6557,4455,10076,25200,16,2311,1526,3113,18414
   AUTOMOBIL MIXT,46785,0,0,0,619,24641,21525,18652,28133,0,0,4,46781
   AUTOPROPULSATA LUCRARI,621,0,0,0,82,361,178,620,1,0,0,12,609
   AUTOREMORCHER,304,0,0,0,0,0,304,304,0,0,0,0,304
   AUTORULOTA,301,0,0,0,3,31,267,214,87,0,0,0,301
   AUTOSPECIALA,10060,1,1,3,245,2726,7084,9082,978,2,3,0,10055
   AUTOSPECIALIZATA,50145,0,0,0,1861,7441,40843,42138,8007,0,0,21,50124
   AUTOTRACTOR,24013,0,0,0,2545,10773,10695,24008,5,0,0,14,23999
   AUTOTURISM,6901236,289520,348304,790610,2079183,1872699,1520920,3230052,3629342,516667,515527,1048746,4820296
   AUTOUTILITARA,971176,49937,70883,120102,287171,248714,194369,892852,77596,98693,89830,149273,633380
   AUTOVEHICUL ATIPIC,4,0,0,0,0,0,4,4,0,0,0,0,4
   AUTOVEHICUL SPECIAL,34328,2395,1779,5365,10665,5039,9085,31170,3136,3539,3559,7096,20134
   MASINA AUTOPROPULSATA PENTRU LUCRARI,1,0,0,0,0,1,0,1,0,0,0,0,1
   MICROBUZ,27365,1888,3768,4103,8667,5623,3316,27241,111,3561,5201,5477,13126
   MOPED,651,0,0,0,181,371,99,3,648,0,0,0,651
   MOTOCAR,116,0,0,0,0,0,116,0,116,0,0,0,116
   MOTOCICLETA,24008,3,1,16,835,3827,19326,15,23992,3,9,19,23977
   MOTOCICLU,118823,6917,6986,12499,42762,23321,26338,575,118073,11892,8468,20566,77897
   MOTOCICLU SPECIAL,26,6,9,8,0,0,3,9,17,13,10,0,3
   MOTOCVADRICICLU,409,0,1,1,264,141,2,4,403,1,1,0,407
   MOTORETA,3358,0,0,0,36,109,3213,0,3358,0,0,0,3358
   MOTOTRICICLU,26,0,0,0,0,5,21,3,23,0,0,0,26
