MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
"Mopede (L1e, L2e)   ","6,766",29,77,342,"4,478","1,044",796,"6,759",0,7,0,75,217,382,"6,092"
"Motociclete(L3e, L4e, L5e, L6e, L7e)   ","155,312","9,932","8,660","12,587","39,213","28,676","56,244","154,407",661,223,8,"15,759","9,790","14,224","115,539"
"Autoturisme (M1, M1G)   ","7,274,728","277,676","391,785","793,042","1,938,806","2,107,040","1,766,379","3,687,728","3,512,622","5,803","44,994","537,724","541,748","870,401","5,324,855"
"Autobuze si microbuze (M2, M3)   ","54,170","2,834","3,855","7,508","13,552","11,425","14,996",120,"53,625",159,176,"5,492","6,189","4,437","38,052"
"Autovehicule transport marfuri (N), fara autotractoare   ","988,991","34,388","57,094","89,811","225,899","286,857","294,942","110,941","877,318",212,55,"73,031","67,136","88,658","760,166"
Autotractoare (N)   ,"152,601","8,039","21,186","41,118","39,434","25,969","16,855",6,"152,333",0,0,"20,439","32,600","26,823","72,739"
Semiremorci   ,"137,850","6,898","14,343","23,034","34,489","26,907","32,179",0,0,0,0,"16,058","18,725","14,914","88,153"
Remorci   ,"362,920","32,666","41,605","44,330","45,067","26,040","173,212",0,0,0,0,"61,520","40,559","31,462","229,379"
Vehicule pentru scopuri speciale   ,"47,676","2,627","2,054","4,916","11,351","8,627","18,101","4,039","43,587",3,5,"4,063","3,182","5,303","35,128"
Tractoare inmatriculate   ,"41,266",59,509,"1,419","2,001","6,011","31,267",192,"41,072",0,2,384,"1,048","1,078","38,756"
TOTAL   ,"9,222,280","375,148","541,168","1,018,107","2,354,290","2,528,596","2,404,971","3,964,192","4,681,218","6,407","45,240","734,545","721,194","1,057,682","6,708,859"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
total categorie    L1e,"6,736",28,74,338,"4,474","1,040",782,"6,730",0,6,0,72,215,378,"6,071"
 total marca ADLY,4,0,0,1,2,1,0,4,0,0,0,0,0,1,3
   model HER CHEE HCIC,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model SF-50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
 total marca AEON,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model KL,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca APRILIA,338,1,1,8,65,87,176,338,0,0,0,2,4,7,325
   model ///,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model AMICO,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model AMIGO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model AREA 51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model ARENA 51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLASSIC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLASSIC 50,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model CLASSIC 50 M,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model CLASSIC50M,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model ETX 125,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model EUROPA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FACTORY,3,0,0,0,3,0,0,3,0,0,0,0,0,0,3
   model GULIVER,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model GULLIVER 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model HABANA,24,0,0,0,0,8,16,24,0,0,0,0,0,0,24
   model HABANA CUSTOM,2,0,0,0,1,0,1,2,0,0,0,0,0,0,2
   model MOJITO 50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model MOJITO CUSTOM,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4
   model RAILLY,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model RALLY,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model RALLY 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RED ROSE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RED ROSE 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model REPLICA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RS 125,16,0,0,0,16,0,0,16,0,0,0,0,0,0,16
   model RS 50,6,0,0,0,1,4,1,6,0,0,0,0,0,0,6
   model RS50,14,0,0,0,6,6,2,14,0,0,0,0,0,0,14
   model RX50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RX50 ENDURO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RX50C,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RXV550,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SCARABEO,18,0,0,0,0,3,15,18,0,0,0,0,0,0,18
   model SCARABEO 50,5,0,0,1,2,1,1,5,0,0,0,0,0,1,4
   model SONIC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SPORT CITY,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SPORT CITY ONE,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model SR,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model SR 50,15,1,0,0,0,6,8,15,0,0,0,1,0,0,14
   model SR 50 DITECH,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4
   model SR SPORT,12,0,0,0,0,6,6,12,0,0,0,0,0,0,12
   model SR50,28,0,0,2,13,2,11,28,0,0,0,0,2,1,25
   model SR50 REPLICA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SR50 STREET,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model SR50IE,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SX 50,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model SX50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,140,0,0,2,14,47,77,140,0,0,0,0,0,4,136
 total marca ATALA,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model BYTE RT10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca BAJAJ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca BAOTIAN,287,0,0,6,214,67,0,287,0,0,0,0,3,8,276
   model BT49QT-20B2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model BT49QT-9D1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model GOPOP,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model MKS ECO-BIKE,3,0,0,0,2,1,0,3,0,0,0,0,0,0,3
   model REBEL49,4,0,0,0,4,0,0,4,0,0,0,0,0,1,3
   model RODKY49,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model TANCO49,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model nespecificat,275,0,0,4,205,66,0,275,0,0,0,0,1,5,269
 total marca BEELINE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model VELOCE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca BEIGUANG,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
 total marca BENELLI,10,0,0,1,0,1,8,10,0,0,0,0,0,1,9
   model 50 NAKED,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
